"actor_id` bigint NOT NULL","actor_type` varchar(64) NOT NULL","slug` varchar(255) NOT NULL","name` varchar(255) NOT NULL","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_active` tinyint NOT NULL DEFAULT 1","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","actor_source_id` bigint","actor_source_type` varchar(50)","metadata` text","adversarial_role` varchar(64) DEFAULT 'none'","adversarial_oversight_actor_id` bigint","avatar_hash` varchar(64)"
"actor_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_type` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","slug` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","name` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL","actor_source_id` bigint:BIGINT|NULL","actor_source_type` varchar(50):VARCHAR(50)|NULL","metadata` text:TEXT|NULL","adversarial_role` varchar(64) DEFAULT 'none':VARCHAR(64)|NULL|DEFAULT:'none'","adversarial_oversight_actor_id` bigint:BIGINT|NULL","avatar_hash` varchar(64):VARCHAR(64)|NULL"
0,service,system-kernel,"System Kernel Actor",20260106085000,20260106085000,1,0,,,system,"{""purpose"": ""kernel"", ""version"": ""1.0.0"", ""protected"": true, ""description"": ""Represents Lupopedia OS itself. Used for bootstrapping, migrations, and system-level events.""}",none,,
2,system_tool,windsurf-ide,"Windsurf IDE",20260220000000,20260220000000,1,0,,2,system_tool,"{""purpose"":""IDE_integration"",""capabilities"":[""code_generation"",""file_editing"",""project_management""],""version"":""1.0.0"",""protected"":false}",none,,
420,agent,stoned-wolfie-ai,"Stoned Wolfie (AI)",20260217230000,20260217230000,0,1,20260217230000,420,lupo_agents,none,,
10000,human,captain,Captain,20260217000000,20260220134555,1,0,,,human,"{""email"":""captain@lupopedia.com"",""status"":""A"",""role"":""root_admin"",""full_access"":true}",none,,
2000,agent,cursor,Cursor,20260217230000,20260217230000,1,0,,2000,AI_AGENT,,none,,
2001,user,user-2001,"Admin Test",20260219120000,20260219120000,1,0,,2001,user,,none,,
2002,user,user-2002,"Jane Moderator",20260219120000,20260219120000,1,0,,2002,user,,none,,
2003,user,user-2003,"Bob Monitor",20260219120000,20260219120000,1,0,,2003,user,,none,,
2004,user,user-2004,"Alex Agent",20260219120000,20260219120000,1,0,,2004,user,,none,,
2005,user,user-2005,"Sam Support",20260219120000,20260219120000,1,0,,2005,user,,none,,
2006,user,user-2006,"Lee Viewer",20260219120000,20260219120000,1,0,,2006,user,,none,,
2007,user,user-2007,"Kim Readonly",20260219120000,20260219120000,1,0,,2007,user,,none,,
2008,user,user-2008,"Taylor Operator",20260219120000,20260219120000,1,0,,2008,user,,none,,
2009,user,user-2009,"Casey Support",20260219120000,20260219120000,1,0,,2009,user,,none,,
2010,user,user-2010,"Jordan CRM",20260219120000,20260219120000,1,0,,2010,user,,none,,
10000,human,captain,Captain,20260217000000,20260220134555,1,0,,,human,"{""email"":""captain@lupopedia.com"",""status"":""A"",""role"":""root_admin"",""full_access"":true}",none,,
10001,user,user-10001,"Stoned Wolfie",20260217230000,20260217230000,0,0,,10001,user,,none,,
12150,user,helen-at-lupopedia-com-at-lupo,helen,20260220133938,20260220133938,1,0,,12150,lupo_auth_users,,none,,
