"auth_user_id` bigint NOT NULL","username` varchar(255) NOT NULL","display_name` varchar(42) NOT NULL","email` varchar(100)","password_hash` varchar(255)","auth_provider` varchar(50)","provider_id` varchar(255)","profile_image_url` varchar(2000)","last_login_ymdhis` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_active` tinyint NOT NULL DEFAULT 1","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"auth_user_id` bigint NOT NULL:BIGINT|NOT_NULL","username` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","display_name` varchar(42) NOT NULL:VARCHAR(42)|NOT_NULL","email` varchar(100):VARCHAR(100)|NULL","password_hash` varchar(255):VARCHAR(255)|NULL","auth_provider` varchar(50):VARCHAR(50)|NULL","provider_id` varchar(255):VARCHAR(255)|NULL","profile_image_url` varchar(2000):VARCHAR(2000)|NULL","last_login_ymdhis` bigint:BIGINT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
420,stoned_wolfie_ai,"Stoned Wolfie (AI)",stoned.wolfie.ai@banned.local,,local,,,,20260217230000,20260217230000,0,0,
2001,admin_test,"Admin Test",admin.test@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2002,mod_jane,"Jane Moderator",mod.jane@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2003,mod_bob,"Bob Monitor",mod.bob@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2004,agent_alex,"Alex Agent",agent.alex@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2005,agent_sam,"Sam Support",agent.sam@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2006,viewer_lee,"Lee Viewer",viewer.lee@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2007,viewer_kim,"Kim Readonly",viewer.kim@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2008,ops_taylor,"Taylor Operator",ops.taylor@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2009,support_casey,"Casey Support",support.casey@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
2010,crm_jordan,"Jordan CRM",crm.jordan@example.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260219120000,20260219120000,1,0,
10000,wisdomoflovingfaith-at-gmail-d,Captain,wisdomoflovingfaith@gmail.com,$2y$10$IHbDSfSgQ5ciHYIFx2b0tObwfLMyftjRPX4iXJzRj6nzigF4VhrLq,local,,,20260221130921,20260220134028,20260221130921,1,0,
10001,stonedwolfie,"Stoned Wolfie",stonedwolfie@lupopedia.com,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,local,,,,20260217230000,20260217230000,0,0,
12150,helen-at-lupopedia-com-at-lupo,helen,helen@lupopedia.com,76d045cc0cdde8dbc1794b967dd5bdaa,,,,,20260220133938,20260220133938,1,0,
12225,173.252.87.57,,,,,,,,20260220133938,20260220133938,1,0,
12226,173.252.70.17,,,,,,,,20260220133938,20260220133938,1,0,
12227,66.220.149.27,,,,,,,,20260220133938,20260220133938,1,0,
12228,16.147.224.188,,,,,,,,20260220133938,20260220133938,1,0,
