"crafty_syntax_leave_message_id` bigint NOT NULL auto_increment","department_id` bigint NOT NULL DEFAULT 0","email` varchar(255) NOT NULL DEFAULT ''","phone` varchar(45)","name` varchar(200)","subject` varchar(255) NOT NULL DEFAULT ''","message` text","priority` tinyint NOT NULL DEFAULT 2","session_data` text","form_data` text","ip_address` varchar(45)","user_agent` varchar(255)","status` enum('new','in_progress','resolved','spam') NOT NULL DEFAULT 'new'","assigned_to` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"crafty_syntax_leave_message_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","department_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","email` varchar(255) NOT NULL DEFAULT '':VARCHAR(255)|NOT_NULL|DEFAULT:''","phone` varchar(45):VARCHAR(45)|NULL","name` varchar(200):VARCHAR(200)|NULL","subject` varchar(255) NOT NULL DEFAULT '':VARCHAR(255)|NOT_NULL|DEFAULT:''","message` text:TEXT|NULL","priority` tinyint NOT NULL DEFAULT 2:INT|NOT_NULL|DEFAULT:2","session_data` text:TEXT|NULL","form_data` text:TEXT|NULL","ip_address` varchar(45):VARCHAR(45)|NULL","user_agent` varchar(255):VARCHAR(255)|NULL","status` enum('new','in_progress','resolved','spam') NOT NULL DEFAULT 'new':UNKNOWN|NOT_NULL|DEFAULT:'new'","assigned_to` bigint:BIGINT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,1,lupopedia@gmail.com,,,"default - Contact",,2,referer=http%3A%2F%2Flupopedia.com%2Findex.php&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F142.0.0.0+Safari%2F537.36+Edg%2F142.0.0.0&os=na&os_version=na&browser=Edge&ip=96.3.230.164,this=that&field_1=lupopedia%40gmail.com&field_2=fsda,,,new,,20251110204908,20260220133936,0,
2,1,lupopedia@gmail.com,,,"default - Contact",,2,referer=http%3A%2F%2Flupopedia.com%2Flh%2Fadmin_options.php%3Ftab%3Dlive&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F142.0.0.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=96.3.230.164,this=that&field_1=lupopedia%40gmail.com&field_2=gfds,,,new,,20251110205055,20260220133936,0,
3,1,lupopedia@gmail.com,,,"default - Contact",,2,referer=http%3A%2F%2Flupopedia.com%2Findex.php&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F142.0.0.0+Safari%2F537.36+Edg%2F142.0.0.0&os=na&os_version=na&browser=Edge&ip=96.3.230.164,this=that&field_1=lupopedia%40gmail.com&field_2=gtyjhghjghj,,,new,,20251110210135,20260220133936,0,
4,1,gfdsg@lupopedia.com,,,"default - Contact",,2,referer=http%3A%2F%2Flupopedia.com%2Fagent_profile.php%3Fid%3D8&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F142.0.0.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=96.3.230.164,this=that&field_1=gfdsg%40lupopedia.com&field_2=gfdsgf,,,new,,20251113021424,20260220133936,0,
5,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123413,20260220133936,0,
6,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123436,20260220133936,0,
7,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123504,20260220133936,0,
8,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123541,20260220133936,0,
9,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123654,20260220133936,0,
10,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123659,20260220133936,0,
11,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123705,20260220133936,0,
12,0,sample@email.tst,,," - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_6=sample%40email.tst&field_7=555,,,new,,20251126123707,20260220133936,0,
13,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123712,20260220133936,0,
14,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123726,20260220133936,0,
15,1,sample@email.tst,,,"default - Contact",,2,referer=http%3A%2F%2F&hostname=host_lookup_not_enabled&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F99.0.4844.0+Safari%2F537.36&os=na&os_version=na&browser=Chrome&ip=85.208.84.179,this=that&field_1=sample%40email.tst&field_2=555,,,new,,20251126123727,20260220133936,0,
